product_id,category,product_title,brand,features,price,rating,review_count,image_url,model
B0CXF7X7RX,phone cases,"otterbox sleek series case for samsung galaxy a55 5g, shockproof, drop proof, ultra-slim, protective thin case, tested to military standard, black, non-retail packaging",otterbox,"['the sleek protective samsung galaxy a55 5g case undergoes thousands of hours of drop testing to ensure your smartphone gets the utmost protection.', ""protect your smartphone with ultra-slim sleek series, the samsung galaxy a55 5g case that's easy to install and has as many drops as military standard ( mil-std-810g 516.6 )."", 'made from 50% recycled plastic, otterbox sleek protective case series provides flawless, sleek and stylish protection from scratches and cracks.', 'this ultra-slim, pocket-friendly case has raised screen bumpers to help protect the touchscreen.', 'its solid one-piece form is precision designed for your phone and its soft touch edges provide great grip.', 'pair with an otterbox screen protector for total, 360-degree protection', 'compatible with samsung galaxy a55 5g', 'the product is delivered without retail packaging to reduce environmental impacts by curtailing packaging waste. this helps us move closer to a more sustainable future.']",2356.02,4.3,38,https://m.media-amazon.com/images/I/61iejZg30XL.__AC_SX300_SY300_QL70_ML2_.jpg,samsung galaxy a55 5g
B0CXF7TJG5,phone cases,"otterbox sleek series case for samsung galaxy a55 5g, shockproof, drop proof, ultra-slim, protective thin case, tested to military standard, clear, non-retail packaging",otterbox,"['the sleek protective samsung galaxy a55 5g case undergoes thousands of hours of drop testing to ensure your smartphone gets the utmost protection.', ""protect your smartphone with ultra-slim sleek series, the samsung galaxy a55 5g case that's easy to install and has as many drops as military standard ( mil-std-810g 516.6 )."", 'made from 50% recycled plastic, otterbox sleek protective case series provides flawless, sleek and stylish protection from scratches and cracks.', 'this ultra-slim, pocket-friendly case has raised screen bumpers to help protect the touchscreen.', 'its solid one-piece form is precision designed for your phone and its soft touch edges provide great grip.', 'pair with an otterbox screen protector for total, 360-degree protection', 'compatible with samsung galaxy a55 5g', 'the product is delivered without retail packaging to reduce environmental impacts by curtailing packaging waste. this helps us move closer to a more sustainable future.']",1919.72,4.3,72,https://m.media-amazon.com/images/I/61K-6P0OIKL.__AC_SX300_SY300_QL70_ML2_.jpg,samsung galaxy a55 5g
B0CXF8L144,phone cases,"otterbox react lanyard case for samsung galaxy a55 5g, ultra-slim, protective case with adjustable and detachable lanyard strap, tested to military standard, black, non-retail packaging",otterbox,"[""protect your smartphone with ultra-slim react necklace series, the samsung galaxy a55 5g case that's easy to install, while the necklace feature delivers reliable and elegant carrying options and helps to prevent drops."", 'the case comes with a detachable nylon rope with size adjustment to wear your phone as a necklace or crossbody for hands-free carrying and tethering.', 'when the nylon rope is not in use you can rely on otterbox trusted drop protection as react necklace is tested to military standard (mil-std-810g 516.6).', 'made from 50% recycled plastic, otterbox react necklace series provides flawless, sleek and stylish protection from scratches and cracks.', 'pair your case with a scratch resistant and durable otterbox screen protector for total, 360-degree protection.', 'compatible with samsung galaxy a55 5g', 'the product is delivered without retail packaging to reduce environmental impacts by curtailing packaging waste. this helps us move closer to a more sustainable future.']",2879.58,4.2,21,https://m.media-amazon.com/images/I/61+L4lU-7ML._AC_SY300_SX300_.jpg,samsung galaxy a55 5g
B0BVZWSY9M,phone cases,"otterbox sleek series case for samsung galaxy a54 5g, shockproof, drop proof, ultra-slim, protective case, tested to military standard, antimicrobial protection, clear/purple - non-retail packaging",otterbox,"['the sleek protective galaxy a54 5g case undergoes thousands of hours of drop testing to ensure your smartphone gets the utmost protection.', ""protect your smartphone with ultra-slim sleek series, the galaxy a54 5g case that's easy to install and has as many drops as military standard ( mil-std-810g 516.6 )."", 'made from 50% recycled plastic, otterbox sleek protective case series provides flawless, sleek and stylish protection from scratches and cracks.', 'lasting antimicrobial technology that helps protect case exterior against many common bacteria.', 'engineered to stay clear', 'this ultra-slim, pocket-friendly case has raised screen bumpers to help protect the touchscreen.', 'compatible with samsung galaxy a54 5g', 'its solid one-piece form is precision designed for your phone and its soft touch edges provide great grip.', 'pair with an otterbox screen protector for total, 360-degree protection', 'the product is delivered without retail packaging to reduce environmental impacts by curtailing packaging waste. this helps us move closer to a more sustainable future.']",2006.98,4.6,30,https://m.media-amazon.com/images/I/61mZg67gf+L._AC_SY300_SX300_.jpg,samsung galaxy a54 5g
B0BZWXXK18,phone cases,"samsung galaxy a54 5g s-view wallet phone case, protective cover w/card holder slot, finger tap display window, us version, ef-za546cbegus, black",samsung,"['get it at a glance: the s-view wallet case lets you access the interactive display of your galaxy a54 5g without opening the cover;* the case combines protection, style and convenience', 'just simple taps will do: you can tap the display window to perform basic functions like answering the phone or pausing the music even with the cover closed', 'keep your card handy: with the s-view wallet case, you can keep an id or credit card close and never worry about forgetting your wallet at home**', 'protection with a purpose: our goal is to provide an environmentally conscious product while still delivering quality phone protection; galaxy a54 5g s-view wallet case contains ul certified post-consumer recycled content and bio-based content***']",2181.5,4.3,40,https://m.media-amazon.com/images/I/41ezna54cNL.__AC_SX300_SY300_QL70_ML2_.jpg,samsung galaxy a54 5g
B0CPTCS5NB,phone cases,"samsung galaxy a15 5g card slot phone case, protective tpu cover with id pocket holder, finger tap control for credit card payment, us version, ef-oa156tbegus, black",samsung,"['two colors. tough protection: available in blue black and lime, the card slot case is built with tpu material for added protection against scratches and drops, plus the flexibility to put it on and take it off easily', 'go wallet-free: keep your id or credit card close at hand; with the galaxy a15 5g card slot case, you can easily carry your card and use it without having to take out your wallet', 'just tap and go: the card slot case allows you to tap your contactless card without having to take it out for payment or usage', 'device compatibility: the samsung galaxy a15 5g card slot case is compatible for use with the samsung galaxy a15 5g smartphone']",872.6,4.5,8,https://m.media-amazon.com/images/I/61BUq993jsL.__AC_SX300_SY300_QL70_ML2_.jpg,samsung galaxy a15 5g
B09FXQK4HZ,phone cases,otterbox sleek series case for samsung galaxy a03s - clear,otterbox,"['the sleek protective samsung galaxy a03s case undergoes thousands of hours of drop testing to ensure your smartphone gets the utmost protection.', ""protect your smartphone with ultra-slim sleek series, the samsung galaxy a03s case that's easy to install and has as many drops as military standard ( mil-std-810g 516.6 )."", 'this ultra-slim, pocket-friendly case has raised screen bumpers to help protect the touchscreen.', 'its solid one-piece form is precision designed for your phone and its soft touch edges provide great grip. it also works with qi wireless charging.', 'the case installs easily and also seamlessly slides in and out of backpacks or pockets: pair with an otterbox screen protector for total, 360 protection', 'pair with an otterbox screen protector for total, 360 protection', 'compatible with samsung galaxy a03s']",2705.06,4.0,40,https://m.media-amazon.com/images/I/61rxB7iKoGL.__AC_SX300_SY300_QL70_ML2_.jpg,samsung galaxy a03
B09M7K5V69,phone cases,"otterbox sleek series case for samsung galaxy a03, shockproof, drop proof, ultra-slim, protective thin case, tested to military standard, black, no retail packaging",otterbox,"['the sleek protective samsung galaxy a03 case undergoes thousands of hours of drop testing to ensure your smartphone gets the utmost protection.', ""protect your smartphone with ultra-slim sleek series, the samsung galaxy a03 case that's easy to install and has as many drops as military standard ( mil-std-810g 516.6 )."", 'this ultra-slim, pocket-friendly case has raised screen bumpers to help protect the touchscreen.', 'its solid one-piece form is precision designed for your phone and its soft touch edges provide great grip. it also works with qi wireless charging.', 'the case installs easily and also seamlessly slides in and out of backpacks or pockets: pair with an otterbox screen protector for total, 360 protection.pair with an otterbox screen protector for total, 360 protection.compatible with samsung galaxy a03']",785.34,3.6,13,https://m.media-amazon.com/images/I/61jlfYbYpfL.__AC_SX300_SY300_QL70_ML2_.jpg,samsung galaxy a03
B0D2WW8PYH,phone cases,spigen essential sand blast back cover case compatible with samsung galaxy m35 5g (tpu | matte black),visit the spigen store,"[compatibility] spigen genuine case compatible with samsung galaxy m35 5g    [protection] air cushion technology for all corner protection    [design] unique sand texture design for optimal grip    [perfect fit] exact fit, perfect cutouts with minimum bulk. all connections and buttons are easy to reach and easy to use    [licensed product] licensed under smapp(samsung mobile partnership program)",599.0,4.5,393,https://m.media-amazon.com/images/I/41GLRgwBMuL._SX300_SY300_QL70_ML2_.jpg,samsung galaxy m35 5g
B0D983SK66,phone cases,zapcase back case cover for samsung galaxy m35 5g | compatible for samsung galaxy m35 5g back cover | liquid silicon case for samsung galaxy m35 5g with camera protection |lavender,visit the zapcase store,[compatibility] designed for samsung galaxy m35 5g & this cover supports wireless charging.    [precise fit] an excellent fit for your device. all cut-outs and buttons are precisely designed to access all your device's features.    [protection] edge to edge protection for your mobile. complete protection in the event of falls and bumps. suede fabric inside the case protects phone's body from scratches.    [material] the soft silicon tpu is made from imported high-grade tpu material that absorbs shocks and also gives a premium matte touch & feel.    [design] professional designed with raised upper lips to protect your screen and camera from everyday ware and tare / scratches. groove on the back give a superior grip and premium look.,299.0,4.3,122,https://m.media-amazon.com/images/I/41+gk1C0CeL._SY300_SX300_.jpg,samsung galaxy m35 5g
